[2025-11-01 16:27:42,238] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 11099
[2025-11-01 16:27:42,266] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:27:43,228] INFO django.server - "GET /admin/user/user/eb11733e-8e3a-4b7b-95c2-3faf75072fa6/change/ HTTP/1.1" 200 19725
[2025-11-01 16:27:43,261] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:27:45,768] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 11099
[2025-11-01 16:27:45,795] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:27:47,313] INFO django.server - "GET /admin/user/user/4ac067ef-47e3-4c3e-bc54-809767baf93a/change/ HTTP/1.1" 200 19796
[2025-11-01 16:27:47,343] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:28:51,226] INFO django.utils.autoreload - /Users/minhazurrahman/Desktop/Django/user/email_services.py changed, reloading.
[2025-11-01 16:28:51,529] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-01 16:29:08,839] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 11099
[2025-11-01 16:29:08,872] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:10,333] INFO django.server - "GET /admin/user/user/4ac067ef-47e3-4c3e-bc54-809767baf93a/change/ HTTP/1.1" 200 19796
[2025-11-01 16:29:10,365] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:12,697] INFO django.server - "GET /admin/user/user/4ac067ef-47e3-4c3e-bc54-809767baf93a/delete/ HTTP/1.1" 200 8892
[2025-11-01 16:29:12,716] INFO django.server - "GET /static/admin/js/cancel.js HTTP/1.1" 304 0
[2025-11-01 16:29:14,216] INFO django.server - "POST /admin/user/user/4ac067ef-47e3-4c3e-bc54-809767baf93a/delete/ HTTP/1.1" 302 0
[2025-11-01 16:29:14,243] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10903
[2025-11-01 16:29:14,275] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:14,282] INFO django.server - "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-11-01 16:29:16,392] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10728
[2025-11-01 16:29:16,417] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:17,698] INFO django.server - "GET /admin/user/profile/ HTTP/1.1" 200 10714
[2025-11-01 16:29:17,715] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:19,509] INFO django.server - "GET /admin/user/profile/d8d82347-25a8-4e62-9101-5e656e7cbdc1/change/ HTTP/1.1" 200 12989
[2025-11-01 16:29:19,534] INFO django.server - "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
[2025-11-01 16:29:19,539] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:25,247] INFO django.server - "GET /admin/user/profile/ HTTP/1.1" 200 10714
[2025-11-01 16:29:25,269] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:37,638] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10728
[2025-11-01 16:29:37,665] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:45,790] INFO django.server - "POST /admin/user/user/ HTTP/1.1" 200 9308
[2025-11-01 16:29:46,946] INFO django.server - "POST /admin/user/user/ HTTP/1.1" 302 0
[2025-11-01 16:29:46,963] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10170
[2025-11-01 16:29:46,984] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:48,786] INFO django.server - "GET /admin/user/user/11e5adba-64b6-46ec-be16-ec6573b7b938/change/ HTTP/1.1" 200 19876
[2025-11-01 16:29:48,816] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:52,118] INFO django.server - "GET /admin/user/profile/ HTTP/1.1" 200 10057
[2025-11-01 16:29:52,144] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:53,936] INFO django.server - "GET /admin/user/profile/d8d82347-25a8-4e62-9101-5e656e7cbdc1/change/ HTTP/1.1" 200 12826
[2025-11-01 16:29:53,963] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:58,619] INFO django.server - "GET /admin/user/address/ HTTP/1.1" 200 8722
[2025-11-01 16:29:58,650] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:29:59,989] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10035
[2025-11-01 16:30:00,009] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:30:00,861] INFO django.server - "GET /admin/user/address/ HTTP/1.1" 200 8722
[2025-11-01 16:30:00,881] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:30:01,585] INFO django.server - "GET /admin/user/address/add/ HTTP/1.1" 200 26780
[2025-11-01 16:30:01,610] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:30:15,798] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10035
[2025-11-01 16:30:15,827] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 16:30:26,491] INFO django.server - "POST /api/auth/register/ HTTP/1.1" 200 294
[2025-11-01 16:38:52,119] INFO django.utils.autoreload - /Users/minhazurrahman/Desktop/Django/core/settings.py changed, reloading.
[2025-11-01 16:38:52,881] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-01 16:39:36,095] INFO django.utils.autoreload - /Users/minhazurrahman/Desktop/Django/core/settings.py changed, reloading.
[2025-11-01 16:39:36,262] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-01 17:09:02,416] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-11-01 17:09:04,788] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10407
[2025-11-01 17:09:04,814] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 17:09:06,631] INFO django.server - "GET /admin/user/user/37b9227d-0fd5-4e46-8da9-cc94eb24bac0/change/ HTTP/1.1" 200 19796
[2025-11-01 17:09:06,667] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 17:09:09,205] INFO django.server - "GET /admin/user/user/37b9227d-0fd5-4e46-8da9-cc94eb24bac0/delete/ HTTP/1.1" 200 8892
[2025-11-01 17:09:10,451] INFO django.server - "POST /admin/user/user/37b9227d-0fd5-4e46-8da9-cc94eb24bac0/delete/ HTTP/1.1" 302 0
[2025-11-01 17:09:10,474] INFO django.server - "GET /admin/user/user/ HTTP/1.1" 200 10210
[2025-11-01 17:09:10,499] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 17:09:19,048] INFO django.server - "POST /api/auth/register/ HTTP/1.1" 200 294
